R;M;L
149.000122;240.619476;14.242769
149.011261;240.660553;14.226761
149.014923;240.694946;14.241126
149.004349;240.722183;14.251160
148.981293;240.744537;14.253935
148.950897;240.760544;14.253589
148.922424;240.775131;14.253797
148.902802;240.796219;14.256972
148.892731;240.821732;14.261596
148.890976;240.843246;14.265878
148.898590;240.860641;14.274240
148.910980;240.877853;14.288445
148.917282;240.890472;14.299582
148.917984;240.896255;14.303323
148.924118;240.903870;14.308300
148.938217;240.918823;14.321082
148.951050;240.935318;14.336601
148.956512;240.945862;14.347402
148.959106;240.951752;14.354278
148.963013;240.958359;14.361797
148.966232;240.964798;14.369201
148.966660;240.966660;14.372189
148.964844;240.963715;14.370199
148.961502;240.958725;14.366453
148.955811;240.952698;14.362111
148.948212;240.945709;14.356560
148.941010;240.938919;14.351313
148.935120;240.932541;14.347255
148.927017;240.924698;14.341337
148.915741;240.914429;14.332424
148.906494;240.905930;14.325312
148.902084;240.901840;14.322476
148.899902;240.900085;14.321366
148.899246;240.900238;14.322255
148.900803;240.903275;14.326578
148.902985;240.908066;14.332022
148.905121;240.913864;14.337886
148.910538;240.923203;14.348720
148.920578;240.937759;14.366928
148.931335;240.952774;14.386580
148.937912;240.961700;14.400991
148.940933;240.965500;14.412037
148.944321;240.970505;14.424326
148.947098;240.976395;14.436358
148.947327;240.979828;14.446806
148.948151;240.983658;14.460216
148.949860;240.988953;14.476719
148.948166;240.989868;14.490516
148.943680;240.986298;14.501513
148.939697;240.983429;14.513467
148.936371;240.982895;14.526962
148.933655;240.984161;14.542404
148.932617;240.988144;14.562525
148.933960;240.994400;14.587726
148.933578;240.998505;14.611464
148.927902;240.996384;14.627222
148.921326;240.992401;14.638609
148.919922;240.991913;14.652169
148.921310;240.993927;14.666897
148.923752;240.998032;14.681169
148.930466;241.007553;14.696568
148.938766;241.019958;14.707873
148.943192;241.029724;14.707101
148.948898;241.040314;14.697807
148.963211;241.056564;14.688540
148.983017;241.075699;14.680037
149.002106;241.092300;14.668151
149.015945;241.101669;14.648454
149.021301;241.101349;14.618730
149.019913;241.093506;14.583634
149.016205;241.082901;14.550721
149.011520;241.071976;14.522308
149.005905;241.061401;14.497498
149.000305;241.051239;14.476342
148.995209;241.040970;14.457499
148.990234;241.030762;14.439583
148.986420;241.021851;14.424357
148.983612;241.014038;14.413721
148.982880;241.008133;14.407873
148.985382;241.006271;14.405740
148.988724;241.007629;14.405408
148.993240;241.011337;14.407271
149.002594;241.020004;14.414307
149.015823;241.033417;14.426926
149.027908;241.046249;14.440205
149.037857;241.055984;14.451402
149.052505;241.068420;14.465570
149.076141;241.089279;14.487520
149.104248;241.115311;14.514019
149.131989;241.141586;14.540284
149.161041;241.170486;14.568049
149.191269;241.202621;14.598416
149.218475;241.232712;14.626981
149.242706;241.259476;14.652874
