R;M;L
324.849701;171.233261;322.475555
324.883240;171.140137;322.342224
324.843689;170.967194;321.996918
324.761566;170.743927;321.569977
324.656738;170.505203;321.174011
324.539764;170.296570;320.874664
324.437866;170.173065;320.711212
324.373016;170.161255;320.671570
324.338623;170.234543;320.697113
324.319458;170.339050;320.736847
324.310822;170.436081;320.775360
324.308014;170.512115;320.812439
324.299255;170.562149;320.840210
324.280029;170.587265;320.848358
324.258636;170.599182;320.840271
324.244202;170.607712;320.828735
324.232941;170.609085;320.816833
324.216156;170.596558;320.799347
324.197510;170.576584;320.777802
324.183136;170.562225;320.759125
324.171631;170.557709;320.747070
324.160553;170.555298;320.740723
324.148346;170.546204;320.734161
324.136139;170.534531;320.725037
324.131134;170.533371;320.718872
324.137543;170.545364;320.720367
324.151489;170.561447;320.728210
324.166748;170.574814;320.740723
324.180817;170.585709;320.756775
324.192261;170.595413;320.773407
324.201782;170.604385;320.787476
324.211334;170.614090;320.798676
324.222473;170.625122;320.808533
324.233643;170.638168;320.819153
324.242889;170.652786;320.830414
324.248230;170.666046;320.840668
324.252380;170.677719;320.851837
324.259979;170.690720;320.866272
324.266663;170.700439;320.879150
324.266174;170.699936;320.882446
324.261719;170.693237;320.879944
324.260010;170.689072;320.879547
324.260254;170.688049;320.883698
324.256561;170.684418;320.889130
324.249634;170.676666;320.896240
324.244446;170.671310;320.908661
324.241943;170.669861;320.923889
324.237274;170.667740;320.935516
324.234100;170.666641;320.946777
324.237244;170.671005;320.965698
324.241699;170.678345;320.989441
324.241852;170.683899;321.013214
324.239655;170.688202;321.038910
324.240692;170.695206;321.071136
324.246521;170.705551;321.107880
324.252350;170.713882;321.141296
324.256714;170.719406;321.169128
324.266632;170.729248;321.198608
324.285370;170.746231;321.233704
324.306976;170.765060;321.269257
324.326385;170.782883;321.301666
324.343475;170.798996;321.330139
324.352753;170.806183;321.347504
324.347900;170.800735;321.347260
324.331970;170.787918;321.333801
324.312714;170.773117;321.313446
