R;M;L
250.572525;82.313057;-39.409809
250.558578;82.530266;-39.439690
250.570114;82.711327;-39.447224
250.584549;82.833984;-39.441441
250.591095;82.904442;-39.428364
250.590744;82.946266;-39.420094
250.593613;82.982773;-39.420780
250.605072;83.021599;-39.421638
250.617767;83.053841;-39.415432
250.622787;83.071152;-39.406155
250.620987;83.078148;-39.402092
250.619278;83.084633;-39.405155
250.621338;83.094460;-39.408161
250.626434;83.105415;-39.404373
250.630417;83.113907;-39.396557
250.631226;83.119492;-39.390766
250.631363;83.124695;-39.388073
250.631470;83.129478;-39.387169
250.629501;83.131355;-39.386990
250.626602;83.131813;-39.384438
250.628647;83.135841;-39.376385
250.636444;83.144867;-39.364162
250.643921;83.154160;-39.354027
250.647385;83.160492;-39.350338
250.649307;83.165688;-39.350044
250.650909;83.171074;-39.347996
250.650436;83.174759;-39.343964
250.648849;83.177849;-39.339386
250.649414;83.183922;-39.333199
250.651443;83.192375;-39.326141
250.651794;83.198616;-39.322124
250.650711;83.200554;-39.322090
250.651077;83.202171;-39.321629
250.655411;83.208488;-39.316425
250.662491;83.218857;-39.307350
250.668579;83.228943;-39.298500
250.672531;83.237755;-39.290779
250.675980;83.247055;-39.282417
250.677933;83.254860;-39.275661
250.677048;83.259270;-39.273460
250.676498;83.264763;-39.271149
250.678909;83.276520;-39.263222
250.682571;83.292297;-39.252583
250.685272;83.307129;-39.244991
250.686859;83.320717;-39.240444
250.688065;83.335602;-39.235271
250.689301;83.351715;-39.228302
250.690872;83.368919;-39.220455
250.694138;83.389519;-39.211273
250.699158;83.414429;-39.200226
250.704346;83.441360;-39.189034
250.708939;83.468819;-39.179333
250.712799;83.496666;-39.170799
250.715683;83.524300;-39.162075
250.720230;83.552620;-39.151340
250.731445;83.584198;-39.137440
250.746902;83.615921;-39.122997
250.759186;83.642792;-39.111267
250.770325;83.669304;-39.099255
250.785858;83.700790;-39.082882
250.802338;83.732498;-39.065441
250.813507;83.759254;-39.051655
250.821030;83.781761;-39.041512
250.828751;83.800560;-39.033630
250.837402;83.813568;-39.026863
250.846573;83.819977;-39.018883
250.858734;83.820816;-39.008484
250.875504;83.816368;-38.997639
250.890945;83.804253;-38.990582
250.896408;83.782539;-38.991165
250.891586;83.753555;-38.999668
250.884689;83.722084;-39.011017
250.882584;83.692078;-39.018913
250.884674;83.662659;-39.023373
250.886337;83.629807;-39.030338
250.885574;83.594032;-39.043098
250.881882;83.559822;-39.059788
250.875656;83.529388;-39.077644
250.867966;83.502663;-39.096153
250.860397;83.478981;-39.115288
250.856140;83.459381;-39.131817
250.858063;83.446335;-39.141636
