R;M;L
46.232647;87.227814;-58.024532
46.265102;86.933907;-58.303097
46.183479;86.554787;-58.793873
46.006516;86.128403;-59.350071
45.795017;85.751785;-59.797081
45.599880;85.520737;-60.061417
45.459648;85.486893;-60.160641
45.397461;85.637985;-60.139641
45.397434;85.897850;-60.056412
45.418247;86.169724;-59.971001
45.426929;86.383034;-59.916176
45.411674;86.513206;-59.891388
45.382492;86.580223;-59.881779
45.358124;86.621162;-59.876850
45.345116;86.654701;-59.876781
45.339130;86.676628;-59.882538
45.336395;86.682091;-59.887188
45.333866;86.678825;-59.884830
45.329643;86.680527;-59.878757
45.324844;86.691765;-59.875706
45.320175;86.702675;-59.878506
45.314301;86.702896;-59.884384
45.307892;86.697365;-59.886707
45.305710;86.699951;-59.881294
45.310112;86.713867;-59.871655
45.318069;86.730507;-59.862900
45.328136;86.744255;-59.853218
45.339931;86.755646;-59.839993
45.349319;86.765060;-59.827122
45.352470;86.772209;-59.819218
45.351376;86.778526;-59.815239
45.352169;86.786514;-59.810410
45.357651;86.796768;-59.802891
45.363903;86.806175;-59.796078
45.367981;86.813049;-59.791348
45.371899;86.818703;-59.786423
45.375401;86.822952;-59.781857
45.376331;86.824356;-59.779404
45.377266;86.825294;-59.776451
45.382236;86.830269;-59.768936
45.390388;86.841621;-59.756626
45.398254;86.857056;-59.743160
45.403633;86.871475;-59.732670
45.407421;86.882446;-59.724812
45.413010;86.892700;-59.715237
45.421654;86.904907;-59.702698
45.430244;86.918236;-59.690155
45.437294;86.931610;-59.678104
45.444309;86.945030;-59.665230
45.449753;86.956352;-59.653862
45.451492;86.963654;-59.645760
45.452755;86.970871;-59.637962
45.456596;86.982124;-59.627949
45.460781;86.995842;-59.616791
45.464085;87.009811;-59.604980
45.468380;87.025352;-59.590378
45.473751;87.043488;-59.572475
45.478851;87.062576;-59.553234
45.484055;87.080757;-59.533493
45.489029;87.096901;-59.514034
45.493397;87.110954;-59.495193
45.500538;87.126709;-59.472797
45.512432;87.147346;-59.443443
45.526604;87.171158;-59.409119
45.541332;87.195389;-59.371853
45.556355;87.218597;-59.332733
45.570545;87.239227;-59.295193
45.582905;87.256683;-59.261246
45.595467;87.273956;-59.227699
45.611874;87.295235;-59.191780
45.631397;87.319191;-59.156605
45.649132;87.340279;-59.126110
45.662853;87.355972;-59.100590
45.672523;87.365662;-59.080513
45.678696;87.370026;-59.065834
45.684841;87.372902;-59.052795
45.693619;87.376656;-59.040691
45.702892;87.378418;-59.035465
45.709419;87.374512;-59.041512
45.710377;87.363907;-59.059727
45.703541;87.346649;-59.089733
45.691093;87.323700;-59.127426
45.678005;87.297310;-59.167519
45.666084;87.269157;-59.208736
45.653835;87.238945;-59.252048
45.640282;87.206512;-59.297344
45.625729;87.171700;-59.344662
45.609585;87.133720;-59.394348
45.592663;87.095985;-59.442181
45.578552;87.064491;-59.481522
45.568672;87.039719;-59.512016
45.561008;87.019196;-59.537720
45.554401;87.002266;-59.560032
45.549217;86.988312;-59.579147
45.544964;86.975067;-59.596367
45.539951;86.960976;-59.613113
45.533649;86.947273;-59.628784
45.528099;86.937920;-59.640369
45.524681;86.933327;-59.647255
45.523159;86.930367;-59.652416
45.522667;86.927101;-59.657085
45.521790;86.924225;-59.660179
45.521091;86.923721;-59.660648
45.521591;86.925583;-59.659962
45.521603;86.926781;-59.660892
45.520920;86.926826;-59.663136
45.521507;86.927399;-59.663979
45.523884;86.928696;-59.662449
45.527828;86.931442;-59.658585
45.532757;86.937492;-59.652325
45.537163;86.945435;-59.645817
45.540817;86.951576;-59.641979
45.543835;86.954361;-59.641781
45.544834;86.953712;-59.643841
45.544815;86.951851;-59.645302
45.547974;86.953140;-59.643017
45.555405;86.959724;-59.635834
45.563236;86.968681;-59.626015
45.567844;86.974701;-59.617981
45.568489;86.975853;-59.614223
45.567013;86.974976;-59.613319
45.565739;86.974503;-59.613468
45.565067;86.973404;-59.614666
45.564793;86.970985;-59.615974
45.565845;86.967262;-59.615677
45.567875;86.962555;-59.613895
45.569027;86.957947;-59.612415
45.569088;86.954933;-59.611855
45.569839;86.954079;-59.610977
45.572815;86.955185;-59.608807
45.576782;86.955460;-59.606560
45.578705;86.951103;-59.605526
45.578152;86.942841;-59.605564
45.577526;86.935364;-59.606583
45.577774;86.931473;-59.607632
45.578716;86.930885;-59.607479
45.580746;86.931702;-59.606663
45.583858;86.932755;-59.605930
45.588055;86.935585;-59.603680
45.592426;86.940300;-59.599895
45.595047;86.943527;-59.597221
45.596546;86.944817;-59.596157
45.598724;86.946312;-59.595764
45.601837;86.948235;-59.596115
45.605423;86.949211;-59.596668
45.608303;86.949402;-59.596584
45.608513;86.949203;-59.596310
45.605980;86.946999;-59.595615
45.602966;86.942352;-59.594303
45.600815;86.937210;-59.595268
45.599075;86.932602;-59.599995
45.599323;86.930397;-59.604397
45.604183;86.932449;-59.604618
45.610840;86.935783;-59.602531
45.613377;86.934891;-59.601952
45.611835;86.930206;-59.603699
45.610229;86.925888;-59.607185
45.607849;86.922089;-59.613453
45.602329;86.917274;-59.621601
45.596329;86.912819;-59.627258
45.593391;86.910385;-59.627960
45.592594;86.909027;-59.625908
45.591179;86.907043;-59.625076
45.588772;86.904121;-59.627480
45.586555;86.901382;-59.631706
45.584858;86.898926;-59.635376
45.584202;86.896225;-59.637089
45.584618;86.892746;-59.637272
45.583305;86.887749;-59.638676
45.578926;86.882286;-59.642693
45.573730;86.878410;-59.648628
45.568207;86.875191;-59.657215
45.562092;86.871040;-59.667431
45.558186;86.868301;-59.674095
45.557484;86.869194;-59.675049
45.554943;86.869621;-59.675457
45.546410;86.865654;-59.679810
45.534332;86.859367;-59.686253
45.524006;86.853607;-59.692368
45.517170;86.847328;-59.698566
45.512211;86.839401;-59.704723
45.508419;86.831100;-59.710148
45.504185;86.822777;-59.716370
45.497250;86.813400;-59.726246
45.489552;86.804680;-59.739380
45.483505;86.797928;-59.752342
45.478096;86.792038;-59.761726
45.471516;86.785843;-59.766708
45.462502;86.777794;-59.770340
45.452045;86.768173;-59.775166
45.442917;86.759590;-59.781082
45.436241;86.752586;-59.788143
45.432243;86.746902;-59.795685
45.428505;86.740517;-59.803818
45.419231;86.729317;-59.814861
45.404827;86.713776;-59.828148
45.391270;86.699509;-59.841076
45.380177;86.689308;-59.853291
45.371227;86.682549;-59.862484
45.365013;86.677765;-59.866123
45.359070;86.672440;-59.867836
45.351093;86.665031;-59.871975
45.343632;86.656303;-59.877430
45.338596;86.648239;-59.883236
