R;M;L
394.934387;277.795715;42.648903
394.944061;277.664917;42.775700
394.883575;277.425018;42.736595
394.763153;277.110718;42.514431
394.621704;276.808289;42.179337
394.509796;276.614197;41.846519
394.460571;276.574860;41.604950
394.470947;276.671295;41.485687
394.508209;276.835236;41.460857
394.542664;276.997528;41.478172
394.568909;277.128601;41.503578
394.587372;277.226379;41.521915
394.593842;277.290527;41.527584
394.592285;277.329498;41.530666
394.593658;277.358551;41.543327
394.600250;277.382385;41.559402
394.607666;277.398010;41.567673
394.615417;277.408661;41.571457
394.624786;277.421661;41.579556
394.632324;277.436249;41.591240
394.636108;277.447052;41.599190
394.638031;277.452667;41.602257
394.644867;277.461273;41.607891
394.661072;277.479858;41.622372
394.679565;277.499451;41.638969
394.686707;277.505005;41.645176
394.682526;277.498627;41.641624
394.673981;277.489990;41.634426
394.662964;277.480499;41.624027
394.653290;277.472412;41.614471
394.651764;277.472473;41.612579
394.658112;277.480042;41.618614
394.665894;277.488586;41.626549
394.666718;277.491516;41.628529
394.660858;277.489868;41.623280
394.654938;277.489349;41.617855
394.653198;277.490234;41.617313
394.655579;277.491669;41.621403
394.662842;277.494659;41.629017
394.671936;277.500671;41.637413
394.678314;277.509155;41.643482
394.680450;277.517334;41.646664
394.678070;277.520844;41.646000
394.674805;277.521149;41.643967
394.677826;277.525482;41.647999
394.684662;277.532593;41.657619
394.687744;277.536011;41.664948
394.691345;277.540314;41.671398
394.703369;277.554321;41.684528
394.719025;277.571625;41.701462
394.728485;277.581390;41.711956
394.730225;277.583618;41.715092
394.728302;277.585907;41.717823
394.726501;277.590881;41.722828
394.725555;277.594788;41.727150
394.725372;277.595795;41.730042
394.729950;277.599609;41.736397
394.738586;277.608337;41.747131
394.742645;277.614380;41.755993
394.741089;277.616028;41.761829
394.741425;277.619598;41.769886
394.744354;277.625122;41.780823
394.747589;277.629913;41.792984
394.752747;277.634216;41.807640
394.759888;277.639771;41.825367
394.770782;277.650726;41.848125
394.789795;277.671417;41.879173
394.815674;277.697266;41.914478
394.841095;277.720093;41.946423
394.862183;277.737823;41.974087
394.877472;277.750183;41.997700
394.885010;277.755524;42.014442
394.884277;277.752563;42.023052
394.877380;277.744720;42.024593
394.870575;277.739899;42.023197
394.868683;277.741882;42.023445
394.869598;277.746216;42.024029
394.869843;277.748993;42.021416
394.868439;277.750824;42.016052
394.864746;277.751160;42.007950
394.860199;277.748138;41.995529
394.856384;277.742981;41.979691
394.849457;277.734985;41.959919
394.835663;277.720947;41.933315
394.817657;277.700500;41.900917
394.798706;277.674896;41.865276
394.778534;277.646118;41.829723
394.760925;277.619598;41.797974
394.742798;277.592621;41.766590
394.718201;277.560425;41.731239
394.690155;277.527008;41.696514
394.665863;277.498444;41.667023
394.649078;277.477203;41.644070
394.641937;277.463287;41.630375
394.640869;277.454712;41.624641
394.638306;277.447296;41.620335
394.631287;277.440338;41.614227
394.625183;277.435303;41.610085
394.629272;277.438385;41.613926
394.646210;277.453461;41.627117
394.666534;277.472656;41.642513
394.677429;277.481934;41.649368
394.676178;277.478271;41.643829
394.669617;277.471130;41.633991
394.666809;277.470917;41.630516
394.671692;277.478333;41.635586
394.683014;277.489594;41.645077
394.696014;277.501373;41.654682
394.704224;277.509644;41.660076
394.705933;277.511566;41.659786
394.704590;277.509827;41.657597
394.705109;277.511292;41.658844
394.708984;277.518738;41.664646
