R;M;L
210.044510;277.804596;0.335454
210.014404;277.533539;0.001770
209.966003;277.293121;-0.282018
209.900528;277.122498;-0.495241
209.828049;277.043518;-0.636032
209.764236;277.052307;-0.709049
209.725204;277.127075;-0.727973
209.719147;277.240540;-0.707711
209.740250;277.366119;-0.657054
209.773392;277.481689;-0.587222
209.806854;277.578888;-0.516171
209.837967;277.660736;-0.459360
209.866623;277.729492;-0.420178
209.890610;277.780334;-0.391663
209.907028;277.810150;-0.367900
209.915359;277.824432;-0.349942
209.918030;277.832703;-0.340833
209.919342;277.840302;-0.337908
209.923935;277.850983;-0.332169
209.932739;277.865234;-0.318901
209.941360;277.878662;-0.304580
209.945938;277.886536;-0.296012
209.948547;277.891174;-0.290536
209.951370;277.897491;-0.282770
209.954391;277.905334;-0.271437
209.958679;277.913300;-0.258010
209.963470;277.920166;-0.244859
209.966568;277.926636;-0.233428
209.968246;277.933502;-0.223201
209.970901;277.941193;-0.213048
209.975830;277.949829;-0.201416
209.982086;277.959717;-0.187387
209.988068;277.969635;-0.173183
209.993073;277.979187;-0.161324
209.997543;277.988434;-0.150294
210.001633;277.996216;-0.137541
210.004471;278.002716;-0.123706
210.006149;278.010651;-0.109868
210.008926;278.020386;-0.094664
210.012878;278.030334;-0.077506
210.015396;278.039398;-0.059627
210.018295;278.049835;-0.039155
210.024658;278.063568;-0.012810
210.031799;278.077576;0.016214
210.036346;278.090454;0.042623
210.041199;278.104034;0.067856
210.048981;278.119049;0.094780
210.057571;278.134033;0.123136
210.065704;278.149628;0.154923
210.075333;278.168915;0.191968
210.085403;278.188354;0.229095
210.092377;278.202148;0.259793
210.096756;278.209351;0.284118
210.101395;278.215149;0.305951
210.107300;278.223877;0.327447
210.113037;278.235687;0.347628
210.117432;278.247406;0.364735
210.121017;278.258759;0.378632
210.122833;278.268280;0.387383
210.121994;278.271912;0.386746
210.123093;278.272736;0.378795
210.129944;278.278046;0.369279
210.138870;278.287048;0.355650
210.146500;278.293518;0.331682
210.153030;278.294830;0.297846
210.155365;278.289368;0.258120
210.150497;278.277588;0.214181
210.142075;278.261322;0.166911
210.134750;278.242096;0.119576
210.129913;278.222656;0.076244
210.126953;278.204742;0.037863
210.124817;278.187531;0.003056
210.121201;278.168213;-0.029262
210.112473;278.145020;-0.060595
210.099396;278.120697;-0.091208
210.088394;278.099976;-0.118337
210.083344;278.084259;-0.139420
210.084198;278.073578;-0.153290
210.089050;278.067200;-0.160496
210.093292;278.062073;-0.164923
210.092896;278.055573;-0.170741
210.089096;278.046936;-0.178230
210.086380;278.039276;-0.183585
210.088486;278.037292;-0.182928
210.095505;278.041016;-0.176657
210.104950;278.048340;-0.167782
210.113403;278.056580;-0.159055
210.118881;278.063568;-0.153038
210.121674;278.068634;-0.149874
210.123428;278.072174;-0.146941
210.125275;278.074554;-0.143118
210.127319;278.075836;-0.139373
210.128159;278.076508;-0.136673
210.129227;278.078857;-0.133980
210.134323;278.085754;-0.128014
210.142899;278.094635;-0.118694
210.150192;278.102081;-0.109683
210.154709;278.108673;-0.102406
210.157288;278.114136;-0.097161
210.156601;278.115936;-0.095835
210.153488;278.113983;-0.097601
210.151718;278.111969;-0.097914
210.153351;278.112427;-0.094700
210.157196;278.114105;-0.090910
210.160172;278.114868;-0.089903
210.160980;278.116119;-0.090115
210.162003;278.119598;-0.087488
210.165176;278.122742;-0.082795
210.168564;278.123413;-0.079320
210.169815;278.122955;-0.077070
210.169693;278.122040;-0.076359
210.169846;278.120087;-0.078307
210.170761;278.118286;-0.080444
210.171692;278.116943;-0.080669
210.172806;278.115204;-0.080125
210.176727;278.115570;-0.078714
210.182571;278.118652;-0.076349
210.185028;278.119507;-0.076264
210.182266;278.115295;-0.079907
210.178741;278.109406;-0.083796
210.177841;278.104706;-0.085683
210.178146;278.101501;-0.087585
210.178741;278.100555;-0.090140
210.181839;278.103394;-0.090556
210.187012;278.107941;-0.088655
210.190063;278.109985;-0.088909
210.188065;278.107941;-0.093143
210.184921;278.104462;-0.096630
210.185440;278.103333;-0.095621
210.188736;278.105011;-0.092388
210.190765;278.106689;-0.089722
210.192383;278.107635;-0.087772
210.195724;278.109772;-0.086448
210.199356;278.112823;-0.086020
210.201996;278.115479;-0.085738
210.205124;278.118042;-0.083907
210.209152;278.120331;-0.080711
210.211761;278.120789;-0.079060
210.211182;278.118774;-0.081026
210.208038;278.116150;-0.084516
210.205948;278.115509;-0.085542
210.206589;278.117401;-0.084264
210.208771;278.120300;-0.083651
210.211945;278.123627;-0.083627
210.216370;278.127960;-0.082745
210.220551;278.131653;-0.081275
210.223694;278.134064;-0.078634
210.226410;278.136505;-0.073656
210.228378;278.137512;-0.069042
210.227829;278.135895;-0.068588
210.225693;278.134674;-0.070578
210.226593;278.136841;-0.070570
210.230850;278.140930;-0.068253
210.234741;278.144073;-0.065610
210.237640;278.146851;-0.062078
210.240219;278.150299;-0.057162
210.241837;278.155914;-0.051960
210.245041;278.167419;-0.044461
210.254227;278.187866;-0.031697
210.269333;278.212158;-0.015629
210.286484;278.234436;0.000987
210.300690;278.254425;0.018799
210.310486;278.274109;0.038920
210.321243;278.296722;0.062750
210.338303;278.324585;0.091173
210.356033;278.350525;0.118134
210.363525;278.361694;0.133205
210.358704;278.354126;0.134437
210.346024;278.334045;0.128158
210.328506;278.309021;0.118628
210.313980;278.288025;0.109065
210.311996;278.277954;0.103647
210.318848;278.274048;0.100558
210.322937;278.265594;0.092429
210.319611;278.251160;0.075985
210.311905;278.235504;0.054851
210.304825;278.222809;0.035097
210.301315;278.214172;0.020682
210.298767;278.206177;0.009793
210.293457;278.195251;-0.001196
210.287064;278.184082;-0.011128
210.283844;278.176727;-0.017260
210.285370;278.174072;-0.019078
210.290359;278.175751;-0.017158
210.295746;278.178680;-0.013253
210.298309;278.178986;-0.011165
210.295273;278.173523;-0.014885
210.289169;278.166718;-0.022591
210.286438;278.165344;-0.027329
210.288773;278.167694;-0.025996
210.292130;278.169281;-0.021010
210.293686;278.171051;-0.017660
210.293106;278.173859;-0.020488
210.292267;278.176331;-0.025768
210.293869;278.178436;-0.024644
210.298431;278.181000;-0.015512
210.303268;278.185638;-0.006454
210.305344;278.195038;-0.007138
210.307190;278.215088;-0.018254
210.315628;278.251038;-0.028734
210.328583;278.295715;-0.028182
210.334778;278.333832;-0.013912
210.331894;278.364288;0.021111
210.331863;278.403992;0.095789
210.346741;278.471344;0.232993
210.380508;278.569336;0.449560
210.432877;278.685944;0.743910
210.497803;278.790894;1.072951
210.556702;278.835144;1.347109
210.586166;278.771698;1.471199
210.578735;278.588623;1.391839
210.546753;278.316986;1.126870
