R;M;L
57.747360;29.951977;1.344578
57.809650;29.872288;1.552502
57.772636;29.677813;1.538683
57.656559;29.421547;1.312653
57.498146;29.174908;0.921335
57.348743;28.994091;0.473482
57.253937;28.906557;0.111171
57.216763;28.906025;-0.085467
57.212383;28.963657;-0.136817
57.222008;29.043293;-0.112262
57.234882;29.114683;-0.070300
57.244411;29.167431;-0.041196
57.251034;29.205589;-0.032513
57.255840;29.229692;-0.037161
57.256870;29.238829;-0.041847
57.255081;29.240438;-0.038572
57.253933;29.242886;-0.032783
57.254246;29.246540;-0.034100
57.254730;29.248674;-0.040500
57.254292;29.248550;-0.041966
57.253376;29.247766;-0.035877
57.254734;29.250334;-0.027744
57.259563;29.257280;-0.022970
57.265282;29.263721;-0.022476
57.269508;29.266584;-0.021237
57.271194;29.267946;-0.015384
57.271175;29.270327;-0.008355
57.272053;29.274410;-0.004290
57.274117;29.278957;-0.002880
57.276211;29.282549;-0.001857
57.278473;29.285151;0.000347
57.280773;29.287251;0.003724
57.282883;29.289276;0.007466
57.285080;29.291048;0.010617
57.286415;29.292402;0.012770
57.285961;29.293873;0.015230
57.284370;29.295790;0.019083
57.282421;29.298164;0.023511
57.281429;29.302111;0.028634
57.282787;29.308315;0.035070
57.285194;29.314672;0.040696
57.286884;29.319448;0.044688
57.288502;29.323919;0.050418
57.291576;29.329224;0.059381
57.296883;29.336140;0.069770
57.303852;29.345720;0.081013
57.311493;29.356487;0.093448
57.318607;29.365961;0.106612
57.322895;29.373472;0.119349
57.324192;29.380421;0.131119
57.325951;29.388933;0.143734
57.329372;29.398844;0.158944
57.333168;29.409664;0.176509
57.338608;29.423141;0.197226
57.347092;29.439533;0.221975
57.356174;29.454720;0.247322
57.362690;29.465536;0.269208
57.367512;29.474874;0.288841
57.373444;29.487305;0.310021
57.381664;29.503466;0.334901
57.392078;29.522411;0.364632
57.405586;29.545324;0.401135
57.422916;29.572836;0.443855
57.440208;29.599970;0.485167
57.452873;29.621529;0.518519
57.463722;29.640923;0.548347
57.476681;29.663063;0.580436
57.489807;29.685635;0.612765
57.501884;29.706209;0.644224
57.514771;29.727116;0.676540
57.526684;29.748421;0.705863
57.534740;29.766924;0.727501
57.540874;29.781767;0.743647
57.547398;29.793972;0.756765
57.552773;29.802929;0.764067
57.554928;29.806341;0.761192
57.553005;29.802019;0.744415
57.546322;29.789824;0.712542
57.535511;29.771511;0.669356
57.522243;29.748308;0.619567
57.507614;29.720648;0.564790
57.491779;29.689161;0.506343
57.473999;29.653910;0.445822
57.453476;29.614784;0.383020
57.431015;29.573914;0.320128
57.409004;29.535294;0.263592
57.390308;29.501795;0.217247
57.376614;29.474882;0.180465
57.367702;29.454424;0.151885
57.361404;29.437704;0.129536
57.355419;29.422047;0.111217
57.349236;29.407612;0.095859
57.343376;29.395264;0.083127
57.337601;29.385334;0.073394
57.332691;29.378736;0.067426
57.331249;29.376183;0.064987
57.333111;29.375692;0.064458
57.334797;29.374332;0.064312
57.336166;29.372091;0.064322
57.339355;29.371197;0.064745
57.342541;29.371595;0.064921
57.342930;29.371269;0.063820
57.342438;29.370890;0.062254
57.342945;29.371754;0.061705
57.342659;29.371153;0.061037
57.340546;29.366980;0.059200
57.338566;29.362328;0.058833
57.338375;29.360603;0.062066
57.340054;29.361176;0.066739
57.343197;29.362432;0.070117
57.347176;29.364519;0.072068
57.350243;29.366644;0.072890
57.350689;29.366348;0.071913
57.348492;29.363771;0.069848
57.345448;29.361727;0.068952
57.343094;29.360153;0.069319
57.342659;29.357830;0.069254
57.344200;29.355885;0.068280
57.344913;29.353521;0.065645
57.343338;29.348843;0.060730
57.341587;29.344343;0.055619
57.340755;29.342577;0.051918
57.339409;29.341581;0.048569
57.336636;29.339094;0.045055
57.334126;29.335751;0.042437
57.332405;29.332159;0.040745
57.329334;29.327131;0.037988
57.324753;29.320713;0.033369
57.321434;29.314787;0.028676
57.319344;29.309416;0.023914
57.315441;29.303061;0.017206
57.309929;29.296675;0.010042
57.306595;29.292616;0.005235
57.306332;29.291361;0.002429
57.307114;29.292927;0.001305
57.308174;29.296421;0.002839
57.309361;29.298475;0.005301
57.309433;29.297342;0.006027
57.307964;29.295000;0.005403
57.306133;29.292675;0.004287
57.304718;29.290073;0.001927
57.304333;29.287983;-0.000645
57.305798;29.286852;-0.000818
57.307987;29.284958;0.000332
57.308723;29.282257;-0.000323
57.307888;29.280949;-0.002367
57.306095;29.280991;-0.004167
57.303921;29.281111;-0.005962
57.302002;29.281164;-0.007736
57.301254;29.280704;-0.008295
57.302715;29.279993;-0.006726
57.304993;29.280544;-0.004141
57.306377;29.282835;-0.002563
57.307808;29.285694;-0.002047
57.309799;29.287407;-0.001671
57.311348;29.287519;-0.001095
57.312630;29.287020;-0.000359
57.313992;29.286201;-0.000033
57.313808;29.285320;-0.000124
57.311985;29.285881;0.000102
57.312008;29.287809;0.000155
57.314339;29.288486;-0.001194
57.315945;29.287378;-0.002832
57.316746;29.287006;-0.001875
57.317978;29.287401;0.001340
57.318363;29.286348;0.003469
57.317657;29.284756;0.004016
57.317936;29.285313;0.004744
57.319069;29.286949;0.004672
57.318779;29.286514;0.001878
57.316998;29.284515;-0.002039
57.316139;29.284075;-0.003885
57.317535;29.284668;-0.003614
57.320023;29.283813;-0.003186
57.322071;29.282873;-0.002442
57.323059;29.283638;-0.000213
57.322392;29.284769;0.002898
57.320686;29.285746;0.005101
57.319675;29.287624;0.005478
57.320564;29.290186;0.004989
57.322788;29.292059;0.004256
57.323521;29.291290;0.002020
57.320683;29.286598;-0.001805
57.316387;29.280140;-0.004536
57.314495;29.275646;-0.004549
57.316158;29.275028;-0.002986
57.320114;29.278547;-0.000124
57.324303;29.283829;0.003574
57.326092;29.286968;0.005359
57.324875;29.287243;0.005190
57.322048;29.285347;0.005218
57.319183;29.281719;0.005174
57.318707;29.279333;0.005045
57.320469;29.279684;0.005353
57.321152;29.279795;0.004976
57.320667;29.278637;0.003901
57.320015;29.277752;0.002776
57.318275;29.276741;0.001337
57.317242;29.275795;0.000927
57.319130;29.276802;0.002967
57.321438;29.279331;0.005812
57.321838;29.281107;0.007839
57.322083;29.281818;0.009894
57.323296;29.282476;0.011532
57.324211;29.283659;0.010916
57.324181;29.284531;0.008744
57.322792;29.282631;0.005946
57.319992;29.278055;0.002524
57.317810;29.274340;0.000025
57.318226;29.273491;0.000095
57.321350;29.275139;0.003017
57.325600;29.277731;0.006760
57.328850;29.279940;0.008529
57.330002;29.283022;0.009520
57.329712;29.288532;0.012805
57.332493;29.297546;0.019642
57.344635;29.313066;0.032218
57.364243;29.334606;0.051033
57.381592;29.354624;0.069812
57.391926;29.368532;0.083013
57.399212;29.380821;0.094080
57.408840;29.398161;0.110609
57.422798;29.421688;0.135696
57.437950;29.444973;0.164486
57.448109;29.458889;0.186876
57.447334;29.456947;0.193312
57.432896;29.438234;0.181118
57.410580;29.410454;0.158948
57.392406;29.386267;0.141125
57.385246;29.373234;0.134461
57.384304;29.367802;0.131965
57.379013;29.358881;0.120170
57.364735;29.339729;0.093551
57.345860;29.312969;0.058414
57.328030;29.284351;0.024514
57.312592;29.259470;-0.001179
57.299969;29.242907;-0.016596
57.293694;29.236080;-0.023813
57.294285;29.235199;-0.026595
57.295193;29.233442;-0.028167
57.292847;29.228903;-0.028482
57.290974;29.226471;-0.026348
57.292961;29.229006;-0.023695
57.296158;29.232439;-0.023538
57.295296;29.231068;-0.026190
57.289684;29.225338;-0.029133
57.285160;29.222691;-0.029750
57.287868;29.231049;-0.030517
57.297722;29.255171;-0.042444
57.310333;29.299049;-0.072530
57.324673;29.368237;-0.099692
57.343079;29.465439;-0.079037
57.368687;29.583656;0.023013
57.412025;29.710176;0.218731
57.493702;29.833174;0.518433
57.621357;29.930016;0.909428
57.757195;29.954956;1.302959
57.835144;29.868801;1.565170
57.819401;29.681156;1.613381
57.717865;29.437563;1.436122
57.562099;29.193295;1.072194
57.406425;29.009520;0.625691
57.304134;28.925163;0.240775
57.268471;28.935860;0.017843
57.277729;29.010096;-0.042912
57.301033;29.103148;-0.016564
57.316196;29.178181;0.023653
57.320099;29.226999;0.047687
57.320885;29.256561;0.052918
57.322487;29.271631;0.046314
57.322960;29.276808;0.039751
57.320728;29.277796;0.039715
57.317997;29.278316;0.041212
57.317810;29.280039;0.038263
57.319962;29.283035;0.033278
57.322262;29.286617;0.033171
57.324024;29.291285;0.040898
57.324524;29.297258;0.050695
57.322109;29.301474;0.053718
57.318893;29.302351;0.050222
57.318867;29.302876;0.048373
57.321098;29.304474;0.051379
57.323502;29.306778;0.056510
57.327293;29.311041;0.061141
57.331215;29.315800;0.062466
57.332954;29.318228;0.061160
57.334732;29.320091;0.062949
57.336990;29.322672;0.068121
57.336231;29.323238;0.070743
57.333462;29.321526;0.070018
57.331585;29.320662;0.069578
57.330524;29.322971;0.071016
57.331684;29.329010;0.075301
57.336811;29.336763;0.082708
57.342476;29.343742;0.091162
57.344929;29.349560;0.098883
57.344765;29.353416;0.105545
57.343628;29.354937;0.111300
57.342834;29.356981;0.117022
57.343464;29.362309;0.123644
57.346085;29.370846;0.131527
57.351101;29.381319;0.141245
57.357002;29.391409;0.152415
57.360756;29.398926;0.163772
57.363930;29.405994;0.176489
57.370323;29.415564;0.191907
57.379990;29.426929;0.208631
57.390884;29.439785;0.226774
57.401852;29.455297;0.247979
57.411644;29.472107;0.271300
57.420139;29.488277;0.294803
57.428246;29.504364;0.318072
57.435314;29.521358;0.340980
57.440937;29.538996;0.363882
57.448376;29.557287;0.389420
57.460163;29.576578;0.419517
57.474712;29.597815;0.453434
57.490150;29.621960;0.490382
57.506092;29.647118;0.528364
57.521606;29.671144;0.564358
57.534412;29.694649;0.597536
57.543995;29.717541;0.628402
57.553474;29.738659;0.658452
57.565777;29.759445;0.690274
57.580311;29.782351;0.724167
57.593845;29.805849;0.756779
57.604332;29.826948;0.785765
57.614082;29.846497;0.812760
57.624702;29.865065;0.837798
57.633987;29.880606;0.856987
57.641674;29.892517;0.867559
57.647541;29.899261;0.866985
57.647854;29.896601;0.851554
57.640301;29.883335;0.821341
57.626797;29.862354;0.780530
57.610443;29.836040;0.732616
57.593132;29.804789;0.678487
57.574139;29.768557;0.617433
57.551414;29.727520;0.549662
57.525063;29.682495;0.479007
57.496788;29.635748;0.411515
57.469280;29.591724;0.352100
57.448124;29.556942;0.304392
57.437553;29.534077;0.269242
57.434582;29.517635;0.242975
57.434059;29.501671;0.221478
57.433224;29.485611;0.202784
57.429771;29.470284;0.185273
57.422825;29.455833;0.168103
57.414639;29.443569;0.152205
57.407158;29.434797;0.139123
57.400791;29.428780;0.130592
57.396313;29.423786;0.127403
57.393772;29.418730;0.126905
57.391697;29.413879;0.125404
57.389126;29.409988;0.122120
57.386356;29.406887;0.117874
57.383999;29.403728;0.113912
57.382786;29.401033;0.112515
57.383076;29.399498;0.114147
57.383423;29.397486;0.115254
57.382328;29.393658;0.113092
57.379566;29.389475;0.109327
57.375195;29.385406;0.106069
57.370453;29.380541;0.103487
57.367737;29.375530;0.101108
57.367043;29.371521;0.098273
57.365849;29.368231;0.094908
57.362026;29.364609;0.091376
57.357655;29.361361;0.089254
57.358063;29.361422;0.091768
57.363605;29.364481;0.098167
57.370758;29.366453;0.103116
57.377525;29.366566;0.104273
57.382111;29.367500;0.103395
57.383446;29.369696;0.102550
57.382744;29.371284;0.102260
57.381256;29.371363;0.101459
57.379822;29.369574;0.099030
57.377556;29.364830;0.093969
57.373158;29.357489;0.086538
57.367695;29.350246;0.079067
57.362206;29.344517;0.072560
57.358154;29.340445;0.067382
57.357033;29.338245;0.064265
57.355591;29.335657;0.060295
57.350990;29.331219;0.053814
57.346905;29.328442;0.049371
57.345779;29.328541;0.048952
57.345470;29.328184;0.049510
57.345509;29.326704;0.049948
57.346443;29.325378;0.049741
57.345631;29.322260;0.046240
57.341679;29.316137;0.040197
57.338177;29.311165;0.036566
57.337475;29.310467;0.036823
57.338047;29.311678;0.038634
57.340073;29.312733;0.040735
57.343998;29.313866;0.041669
57.346573;29.314022;0.039656
57.345158;29.311781;0.035266
57.341457;29.307810;0.030987
57.338329;29.304010;0.029335
57.335594;29.301464;0.030156
57.331703;29.299690;0.030212
57.327614;29.297354;0.027634
57.325642;29.294796;0.024438
57.324856;29.293196;0.022013
57.322140;29.291323;0.018607
57.318069;29.288010;0.014597
57.316769;29.285065;0.013203
57.319912;29.284460;0.014707
57.324085;29.285486;0.016389
57.325573;29.286524;0.017063
57.326050;29.287846;0.018024
57.327255;29.289284;0.019539
57.326103;29.288416;0.019576
57.322117;29.285202;0.017493
57.319756;29.282347;0.014773
57.319473;29.280094;0.011691
57.317600;29.277151;0.007719
57.314606;29.275217;0.004838
57.314789;29.276758;0.005962
57.319683;29.280327;0.010526
57.326412;29.283390;0.015137
57.330372;29.285667;0.017418
57.329376;29.286814;0.017197
57.325600;29.285769;0.014863
57.322792;29.283543;0.011691
57.322849;29.282431;0.010490
57.324757;29.282406;0.011558
57.326206;29.281845;0.011941
57.325817;29.280571;0.010745
57.322914;29.279810;0.009844
57.318714;29.279736;0.010008
57.316425;29.280188;0.010826
57.318291;29.281832;0.012472
57.323036;29.283962;0.014385
57.327015;29.285126;0.015335
57.328953;29.286118;0.015928
57.331226;29.287842;0.017314
57.334034;29.288542;0.018189
57.333927;29.287127;0.016940
57.330593;29.285480;0.014841
57.326954;29.285078;0.013411
57.323875;29.285156;0.012304
57.322124;29.285290;0.012107
