R;M;L
-0.979738;303.863373;23.859179
-1.556127;303.302673;23.293289
-1.970006;302.897980;22.872944
-2.206110;302.663055;22.609076
-2.271063;302.589996;22.500946
-2.181628;302.657898;22.524483
-1.991631;302.811737;22.617975
-1.785682;302.977509;22.705667
-1.615601;303.118927;22.748735
-1.464430;303.255981;22.768074
-1.279374;303.432465;22.817211
-1.021279;303.681335;22.938347
-0.659724;304.035126;23.161547
-0.150912;304.546478;23.524336
0.488353;305.205933;24.012556
1.126832;305.879425;24.514688
1.649506;306.441254;24.930593
2.058826;306.884796;25.262243
2.395000;307.248535;25.547647
2.682114;307.556702;25.804468
2.963596;307.853058;26.060053
3.294604;308.192505;26.353184
3.686764;308.584106;26.685053
4.103338;308.986633;27.020403
4.517694;309.371521;27.344440
4.938244;309.756165;27.676624
5.373053;310.165558;28.035179
5.822730;310.604431;28.426971
6.316269;311.089142;28.869781
6.891677;311.647614;29.382782
7.537407;312.272858;29.953854
8.213718;312.934937;30.557119
8.905205;313.622192;31.184870
9.606681;314.329193;31.833656
10.298807;315.032990;32.486031
10.968800;315.714325;33.128227
11.625677;316.377045;33.769543
12.259544;317.016693;34.409042
12.820646;317.594208;35.008148
13.283401;318.087952;35.548122
13.682927;318.530212;36.068245
14.058989;318.958374;36.602154
14.420810;319.374817;37.140106
14.782720;319.788879;37.683716
15.168752;320.225525;38.252922
15.572125;320.676666;38.822098
15.971798;321.111023;39.346272
16.371630;321.533478;39.834141
16.783920;321.974854;40.317463
17.203812;322.435272;40.797878
17.622906;322.899841;41.272320
18.055323;323.382324;41.764935
18.515108;323.894470;42.290295
18.977213;324.397949;42.813927
19.410688;324.856445;43.298557
19.820066;325.281464;43.754562
20.214167;325.687164;44.205978
20.585220;326.069672;44.656143
20.945690;326.443054;45.116379
21.327181;326.833862;45.606709
21.727287;327.234161;46.107594
22.109035;327.608063;46.569862
22.440689;327.926910;46.962265
22.706291;328.177979;47.274727
22.908886;328.370270;47.515587
23.073017;328.539093;47.716030
23.223396;328.704987;47.901531
23.361027;328.850616;48.061481
23.469906;328.953735;48.171219
23.544821;329.018768;48.234669
23.598982;329.066833;48.280624
23.647682;329.115234;48.329041
23.697426;329.169159;48.379353
23.746197;329.220978;48.419899
23.771791;329.242920;48.427570
23.718010;329.179108;48.353458
23.552473;329.000000;48.168060
23.347389;328.783905;47.942932
23.221197;328.654480;47.802696
23.225012;328.658844;47.802498
23.352503;328.782654;47.927418
23.582661;329.003815;48.152084
23.857546;329.273468;48.431786
24.089869;329.510406;48.689205
24.229641;329.658203;48.865894
24.292078;329.729736;48.965263
24.319267;329.771698;49.023190
24.341171;329.811432;49.062496
24.372978;329.856995;49.092628
24.424423;329.916931;49.122963
24.490877;329.988647;49.152248
24.545660;330.044342;49.157394
24.561440;330.059113;49.111256
24.530552;330.027557;49.005314
24.462322;329.956879;48.849800
24.373211;329.860809;48.660484
24.267897;329.740326;48.440247
24.133766;329.583435;48.183067
23.969278;329.395874;47.902275
23.795706;329.200897;47.625996
23.640593;329.021454;47.377846
23.523523;328.877869;47.176060
23.444132;328.767883;47.021034
23.384907;328.670288;46.893616
23.322777;328.569763;46.774883
23.231693;328.450836;46.651836
23.103321;328.303864;46.526306
22.968163;328.153748;46.421642
22.862255;328.035706;46.357075
22.783936;327.952576;46.321877
22.709826;327.881134;46.287304
22.628773;327.808777;46.235878
22.540707;327.738281;46.169205
22.450022;327.676758;46.095173
22.369738;327.630249;46.021343
22.313257;327.602692;45.954071
22.279387;327.594147;45.893566
22.254267;327.595886;45.831326
22.225580;327.596436;45.758511
22.192650;327.596466;45.680874
22.166842;327.606903;45.619320
22.162748;327.636871;45.590805
22.187597;327.689148;45.596809
22.236221;327.759125;45.625965
22.292130;327.832489;45.658730
22.344666;327.903229;45.683823
22.401579;327.985626;45.708317
22.465469;328.078522;45.734791
22.522509;328.157990;45.754211
22.572243;328.226990;45.770611
22.631426;328.311035;45.794273
22.701454;328.411041;45.813541
22.767103;328.510254;45.807312
22.829920;328.612213;45.779850
22.914106;328.738922;45.759659
23.033524;328.900238;45.765923
23.181723;329.087067;45.798283
