R;M;L
-3.163744;-0.244742;-0.757850
-3.147387;-0.239553;-0.749934
-3.134382;-0.240250;-0.755971
-3.175885;-0.256502;-0.773032
-3.156416;-0.237007;-0.766411
-3.173893;-0.259726;-0.785194
-3.164507;-0.240632;-0.749550
-3.162535;-0.248729;-0.747747
-3.179520;-0.262167;-0.770829
-3.165001;-0.251175;-0.767039
-3.178143;-0.267445;-0.764451
-3.149442;-0.239703;-0.739297
-3.135641;-0.216787;-0.738428
-3.128817;-0.225825;-0.753578
-3.135944;-0.222122;-0.739276
-3.132911;-0.187853;-0.718688
-3.080362;-0.137053;-0.677605
-3.081034;-0.123631;-0.677255
-3.077315;-0.134327;-0.663557
-3.109078;-0.175770;-0.689904
-3.091410;-0.167097;-0.681116
-3.113874;-0.208031;-0.704191
-3.063656;-0.132281;-0.649159
-3.046853;-0.105966;-0.620823
-3.055368;-0.120817;-0.612467
-3.068535;-0.129300;-0.634338
-3.116408;-0.165258;-0.674724
-3.079715;-0.158677;-0.642514
-3.087115;-0.143230;-0.648885
-3.088229;-0.148798;-0.643027
-3.097870;-0.177707;-0.640787
-3.107769;-0.171484;-0.641216
-3.098208;-0.177492;-0.678073
-3.137389;-0.218553;-0.722164
-3.159433;-0.255827;-0.756180
-3.184923;-0.288540;-0.796741
-3.179584;-0.291545;-0.797344
-3.198272;-0.296534;-0.811984
-3.217908;-0.318577;-0.823869
-3.193883;-0.302730;-0.819392
-3.192852;-0.310741;-0.811211
-3.196903;-0.307386;-0.811729
-3.181492;-0.276821;-0.803808
-3.190022;-0.289661;-0.809149
-3.189682;-0.289671;-0.814490
-3.207686;-0.302170;-0.811478
-3.218371;-0.279364;-0.813805
-3.194093;-0.167343;-0.805110
-3.178168;-0.081158;-0.779880
-3.206939;-0.135259;-0.712625
-3.043583;-0.080425;-0.350766
-2.833811;-0.055474;0.025389
-2.547052;0.078671;0.442018
-2.358035;0.170100;0.668071
-2.482483;-0.029718;0.551121
-2.852450;-0.483151;0.055086
-3.132080;-0.856066;-0.516645
-3.322408;-1.109280;-1.078732
-3.260674;-0.914344;-1.013115
-3.200403;-0.719840;-0.919252
-3.170101;-0.564003;-0.855615
-3.154698;-0.393355;-0.772517
-3.134472;-0.275670;-0.722315
-3.147745;-0.258483;-0.726280
-3.168426;-0.260845;-0.757286
-3.163098;-0.258816;-0.764265
-3.162766;-0.247745;-0.757036
-3.148052;-0.232111;-0.729397
-3.141778;-0.220869;-0.716053
-3.184505;-0.242954;-0.760149
-3.191493;-0.237826;-0.764287
-3.176779;-0.224690;-0.737595
-3.141312;-0.196827;-0.719859
-3.118934;-0.180763;-0.698248
-3.153996;-0.194064;-0.736574
-3.168218;-0.207193;-0.735717
-3.166938;-0.213777;-0.748553
-3.133796;-0.175924;-0.723669
-3.149567;-0.182679;-0.700594
-3.142776;-0.172383;-0.689058
-3.150711;-0.172420;-0.702238
-3.126179;-0.145502;-0.680110
-3.124124;-0.141232;-0.670900
-3.107515;-0.139027;-0.662637
-3.119152;-0.139750;-0.666429
-3.142586;-0.148998;-0.682709
-3.133985;-0.132495;-0.677288
-3.104630;-0.097994;-0.645083
-3.103865;-0.101899;-0.632858
-3.106200;-0.094090;-0.620719
-3.088727;-0.082320;-0.607030
-3.088478;-0.065208;-0.591790
-3.089089;-0.061357;-0.582320
-3.079883;-0.043812;-0.579481
-3.070332;-0.042886;-0.559160
-3.063277;-0.025940;-0.539356
-3.054070;-0.013385;-0.541425
-3.024969;0.020185;-0.501900
-3.024802;0.027491;-0.488640
-3.040998;0.028943;-0.480547
-3.014651;0.047879;-0.473745
-2.987528;0.075859;-0.428450
-2.983312;0.110731;-0.378589
-2.987966;0.113053;-0.360678
-2.985384;0.117961;-0.361368
-2.986161;0.127091;-0.337256
-2.980909;0.135535;-0.322875
-2.922523;0.190742;-0.274995
-2.903405;0.220893;-0.241237
-2.888850;0.240109;-0.210149
-2.895479;0.243224;-0.200589
-2.886435;0.249959;-0.179576
-2.883073;0.247655;-0.186981
-2.881260;0.264816;-0.173718
-2.875314;0.249601;-0.177420
-2.881767;0.247392;-0.190938
-2.888649;0.240709;-0.210227
-2.873572;0.230584;-0.251388
-2.906891;0.199192;-0.290827
-2.952093;0.153680;-0.352053
-2.964225;0.109722;-0.405786
-2.987638;0.077996;-0.440832
-3.010360;0.038265;-0.485006
-3.022404;0.023770;-0.524099
-3.052100;-0.040239;-0.578951
-3.082312;-0.069021;-0.605212
-3.093405;-0.102708;-0.638534
-3.090287;-0.111590;-0.648517
-3.096642;-0.119606;-0.644722
-3.102564;-0.133130;-0.673996
-3.115461;-0.155002;-0.704991
-3.139036;-0.163953;-0.715749
-3.153222;-0.183577;-0.720822
-3.124521;-0.178740;-0.710394
-3.149642;-0.190260;-0.727696
-3.118183;-0.184294;-0.715803
-3.136154;-0.193825;-0.718205
-3.131388;-0.183715;-0.721038
-3.131961;-0.191169;-0.723439
-3.138733;-0.180103;-0.716540
-3.137494;-0.188752;-0.734872
-3.148483;-0.180259;-0.718412
-3.146209;-0.183817;-0.730716
-3.133857;-0.177983;-0.717958
-3.134421;-0.178172;-0.725438
-3.142390;-0.178010;-0.702948
-3.137182;-0.171126;-0.694582
-3.125772;-0.171988;-0.709897
-3.103424;-0.156136;-0.684219
-3.124132;-0.148288;-0.693849
-3.124258;-0.169197;-0.694092
-3.105608;-0.155654;-0.707252
-3.122178;-0.165959;-0.700777
-3.111878;-0.166182;-0.703860
-3.122417;-0.184828;-0.712110
-3.100144;-0.150850;-0.679971
-3.116794;-0.170862;-0.682105
-3.126639;-0.181997;-0.686392
-3.130971;-0.182964;-0.706093
-3.117561;-0.153352;-0.680841
-3.114914;-0.170324;-0.687020
-3.111233;-0.177644;-0.698022
-3.118313;-0.168250;-0.703167
-3.109805;-0.173145;-0.699355
-3.106376;-0.170369;-0.691668
-3.127316;-0.201085;-0.717565
-3.143088;-0.200792;-0.721416
-3.139481;-0.202989;-0.714330
-3.126572;-0.187095;-0.710515
-3.115125;-0.193584;-0.719273
-3.154915;-0.211691;-0.737245
-3.153884;-0.222126;-0.740920
-3.131839;-0.218431;-0.733055
-3.111945;-0.199744;-0.722349
-3.126151;-0.205937;-0.701307
-3.135705;-0.206353;-0.727628
-3.137936;-0.212875;-0.724928
-3.155667;-0.227743;-0.740225
-3.157722;-0.222623;-0.739505
-3.120851;-0.216807;-0.743950
-3.129275;-0.204007;-0.711106
-3.154231;-0.207475;-0.728037
-3.142585;-0.225230;-0.728088
-3.132057;-0.217917;-0.742779
-3.123421;-0.214213;-0.721988
-3.132695;-0.216442;-0.724707
-3.138522;-0.232699;-0.742237
-3.145983;-0.238873;-0.745127
-3.143711;-0.222647;-0.738887
-3.138854;-0.226994;-0.746426
-3.142174;-0.223582;-0.746041
-3.163663;-0.240485;-0.756505
-3.175419;-0.255743;-0.774634
-3.163921;-0.244381;-0.758487
-3.141397;-0.224313;-0.742253
-3.146781;-0.235677;-0.749789
-3.152004;-0.246790;-0.746306
-3.151722;-0.235087;-0.743082
-3.141108;-0.233977;-0.738395
-3.161234;-0.245524;-0.763504
-3.162062;-0.245010;-0.762603
-3.158916;-0.252840;-0.780644
-3.180984;-0.262812;-0.776979
-3.152739;-0.253823;-0.757375
-3.145220;-0.239908;-0.751974
-3.146298;-0.245964;-0.757849
-3.147119;-0.248236;-0.758645
-3.162324;-0.248102;-0.761335
-3.171760;-0.234625;-0.761702
-3.157601;-0.215125;-0.747343
-3.138449;-0.195199;-0.728420
-3.059275;-0.106988;-0.654556
-3.022127;-0.069160;-0.646141
-3.022097;-0.066902;-0.637555
-3.015696;-0.075586;-0.636030
-3.064927;-0.126472;-0.675412
-3.133191;-0.192432;-0.725042
-3.087524;-0.139987;-0.676414
-3.026874;-0.073164;-0.603846
-3.028832;-0.071278;-0.599052
-3.081772;-0.128902;-0.651354
-3.088813;-0.134085;-0.665249
-3.115231;-0.183364;-0.673116
-3.121413;-0.179254;-0.667032
-3.111837;-0.172134;-0.656299
-3.112941;-0.175955;-0.659517
-3.136866;-0.196227;-0.670314
-3.157864;-0.227440;-0.703158
