R;M;L
115.159966;131.345337;-1.669769
115.034431;130.934387;-2.011172
114.871536;130.508057;-2.424126
114.718193;130.172501;-2.767771
114.603394;130.017822;-2.975088
114.535881;130.040421;-3.056578
114.512215;130.179581;-3.047220
114.518555;130.371353;-2.993865
114.530098;130.551422;-2.949886
114.524414;130.675201;-2.940793
114.498398;130.743942;-2.954849
114.465340;130.765533;-2.972004
114.436020;130.734207;-2.988325
114.412956;130.673477;-3.008803
114.398064;130.617828;-3.029058
114.389198;130.570480;-3.041538
114.373993;130.543839;-3.051139
114.344429;130.565979;-3.067276
114.309639;130.621246;-3.089434
114.283073;130.661713;-3.111222
114.267380;130.667160;-3.127995
114.258247;130.646072;-3.137605
114.252502;130.611740;-3.142354
114.249352;130.569778;-3.146735
114.247124;130.496506;-3.152016
114.243240;130.376694;-3.157386
114.238365;130.276993;-3.161159
114.236008;130.267502;-3.161509
114.237518;130.295776;-3.159216
114.242538;130.276825;-3.154956
114.251167;130.233063;-3.147794
114.259834;130.240509;-3.139359
114.263443;130.314545;-3.132364
114.260635;130.385025;-3.126296
114.256271;130.376068;-3.118997
114.257454;130.296646;-3.109449
114.266846;130.148239;-3.098080
114.281487;129.876083;-3.085790
114.296410;129.631592;-3.073943
114.306801;129.735443;-3.064796
114.310699;130.176971;-3.058784
114.311531;130.629395;-3.053405
114.314728;130.944016;-3.046072
114.324135;131.172348;-3.034984
114.339172;131.314209;-3.019397
114.354729;131.353043;-3.000892
114.368111;131.358719;-2.981107
114.381615;131.414841;-2.959657
114.394798;131.523712;-2.936537
114.403870;131.632111;-2.912729
114.408142;131.705917;-2.889441
114.409714;131.753738;-2.868357
114.410652;131.790817;-2.849067
114.413940;131.791275;-2.828238
114.423950;131.723679;-2.803123
114.443031;131.632507;-2.773467
114.467384;131.588898;-2.741684
114.490875;131.577606;-2.711935
114.510025;131.524200;-2.687061
114.523857;131.415619;-2.667596
114.532875;131.318253;-2.652310
114.540398;131.280640;-2.637862
114.550308;131.282181;-2.621017
114.562805;131.288391;-2.602347
114.574051;131.291031;-2.585700
114.582535;131.285492;-2.574177
114.588882;131.287735;-2.569362
114.593491;131.341019;-2.572226
114.597557;131.438293;-2.582494
114.600487;131.491959;-2.600883
114.599686;131.432999;-2.627890
114.596054;131.289505;-2.657899
114.591484;131.144318;-2.685280
114.584824;131.063492;-2.712701
114.577164;131.062378;-2.742465
114.572121;131.100937;-2.771418
114.565781;131.112930;-2.800591
114.551315;131.074127;-2.832571
114.532005;131.029221;-2.861549
114.516479;131.026001;-2.881757
114.508171;131.065323;-2.894204
114.507462;131.143738;-2.899359
114.513588;131.266830;-2.897973
114.523247;131.407639;-2.895485
114.530708;131.509323;-2.896688
114.531212;131.533493;-2.901814
114.526726;131.498016;-2.909809
114.523811;131.463806;-2.918638
114.526344;131.489960;-2.922697
114.534691;131.614197;-2.917327
114.548660;131.831177;-2.902977
114.567436;132.063324;-2.882737
114.586693;132.185776;-2.862150
114.600700;132.121338;-2.847188
114.609535;131.941483;-2.837484
