R;M;L
178.805801;169.079376;11.966450
178.765015;169.214035;11.854844
178.751480;169.376633;11.865843
178.754791;169.520950;11.929120
178.770813;169.626801;11.990386
178.792938;169.696487;12.020331
178.811905;169.737366;12.021959
178.819107;169.754211;12.013237
178.813110;169.752960;12.004863
178.801315;169.745468;11.995657
178.794724;169.744141;11.984371
178.798630;169.752869;11.977804
178.808395;169.765350;11.982056
178.813766;169.773087;11.991987
178.810715;169.774124;11.996666
178.804642;169.773788;11.992449
178.801224;169.775497;11.984900
178.801422;169.778473;11.982233
178.804367;169.783539;11.988681
178.808746;169.791107;11.999865
178.814240;169.799500;12.009319
178.822357;169.809845;12.017655
178.831619;169.821304;12.026555
178.839676;169.831909;12.035190
178.850250;169.845352;12.047210
178.867401;169.865677;12.066089
178.886169;169.887711;12.086949
178.901901;169.906418;12.105407
178.918518;169.926239;12.125158
178.937958;169.949875;12.148117
178.955765;169.971619;12.168510
178.971542;169.990158;12.184577
178.991364;170.011993;12.203053
179.014130;170.036087;12.225291
179.029556;170.053101;12.243191
179.034119;170.060623;12.253292
179.033676;170.065048;12.260592
179.032486;170.070023;12.267432
179.031464;170.075256;12.271518
179.032959;170.081390;12.274348
179.038467;170.089523;12.280708
179.044067;170.097000;12.289270
179.043655;170.098846;12.293119
179.035477;170.094101;12.289301
179.021591;170.084396;12.280112
179.004501;170.071930;12.269072
178.986923;170.059540;12.258725
178.969330;170.047226;12.247914
178.950745;170.033630;12.234922
178.933716;170.020081;12.222208
178.919037;170.007660;12.211514
178.903976;169.994415;12.200823
178.887344;169.979828;12.189615
178.872894;169.967789;12.181708
178.863525;169.963089;12.180392
178.858322;169.964371;12.183590
178.856216;169.967926;12.189077
178.858688;169.974564;12.198956
178.864761;169.983856;12.212846
178.869843;169.991043;12.225262
178.871155;169.993744;12.233562
178.870834;169.994736;12.240528
178.871811;169.997101;12.249064
178.875534;170.002823;12.259736
178.881332;170.010361;12.271106
178.885529;170.015213;12.280909
178.886063;170.016525;12.287965
178.883804;170.014633;12.291421
178.878632;170.009583;12.291639
178.872635;170.004517;12.292474
178.870880;170.003769;12.297324
178.875031;170.007294;12.305441
178.882477;170.012360;12.315049
178.890411;170.015793;12.324574
178.897552;170.016022;12.332331
178.905518;170.015823;12.339713
178.915451;170.018433;12.348184
178.926224;170.023148;12.355124
178.938828;170.029633;12.360305
178.954498;170.038040;12.366639
178.970367;170.046356;12.372448
178.982819;170.051300;12.374107
178.992767;170.052124;12.372424
179.002487;170.051346;12.370858
179.013626;170.051727;12.370885
179.025635;170.052917;12.371145
179.037308;170.053421;12.370228
179.049316;170.055023;12.368934
179.061295;170.058746;12.367287
179.067749;170.059616;12.361642
179.068344;170.055801;12.351697
179.069107;170.052017;12.343144
179.070786;170.048904;12.337480
179.069382;170.043518;12.331032
179.065842;170.037384;12.323351
179.061600;170.032745;12.315261
179.054794;170.026764;12.305327
179.046585;170.018890;12.294502
179.040726;170.013474;12.286955
179.039276;170.013000;12.284068
179.040680;170.014847;12.283689
179.043335;170.017120;12.284670
179.047531;170.021164;12.287722
179.051895;170.026001;12.291354
179.051788;170.025787;12.290583
179.046387;170.019684;12.284679
179.041458;170.014847;12.280143
179.038727;170.014221;12.279723
179.037094;170.014755;12.280673
179.040710;170.017715;12.284727
179.052414;170.025223;12.294565
179.064621;170.034088;12.304953
179.070053;170.038391;12.308968
179.068665;170.035889;12.307160
179.064850;170.030334;12.304561
179.060577;170.025375;12.303304
179.056107;170.020432;12.302045
179.053238;170.015518;12.300654
179.053101;170.012680;12.299232
179.050125;170.008408;12.293674
179.040375;169.999207;12.282472
179.031174;169.989624;12.271948
179.027512;169.983444;12.264958
179.025330;169.978027;12.258999
179.023590;169.973816;12.255226
179.025101;169.973343;12.254578
179.028366;169.975433;12.255566
179.032578;169.978699;12.259243
179.038773;169.983994;12.266289
179.046951;169.991302;12.274947
179.055695;169.998856;12.282691
179.061905;170.002457;12.286366
179.064621;170.002060;12.286351
179.068069;170.003204;12.287940
179.075882;170.008423;12.293306
179.085815;170.015274;12.300422
179.096283;170.024048;12.309794
179.106125;170.034393;12.321009
179.112335;170.041763;12.329478
179.115616;170.045151;12.334489
179.119766;170.048523;12.339336
179.125473;170.052917;12.344698
179.134552;170.059235;12.351222
179.146164;170.068726;12.358969
179.153488;170.076935;12.364160
179.154327;170.080734;12.365818
179.152084;170.081268;12.365545
179.147583;170.078323;12.361817
179.142578;170.072845;12.355940
179.140549;170.069031;12.352561
179.140152;170.065903;12.350955
179.137482;170.060501;12.347272
179.132812;170.054108;12.341312
179.128632;170.049286;12.335382
179.127686;170.047882;12.332111
179.132217;170.052094;12.333482
179.140823;170.061539;12.338749
179.147858;170.069855;12.343387
179.149231;170.071655;12.343247
179.148865;170.070724;12.341207
179.151108;170.071548;12.341320
179.152435;170.071075;12.340963
179.152069;170.069626;12.339983
179.154160;170.072067;12.343148
179.156555;170.075409;12.347705
179.153671;170.073074;12.346494
179.148224;170.067902;12.341465
179.146790;170.066727;12.339854
179.149857;170.069016;12.342505
179.153381;170.070358;12.344972
179.155319;170.069687;12.345331
179.155731;170.068222;12.345024
179.155319;170.067184;12.345114
179.155045;170.066376;12.345035
179.155258;170.065781;12.344528
179.157364;170.067429;12.346156
179.162170;170.071716;12.351251
179.167053;170.075012;12.355477
179.168381;170.075058;12.355228
179.164734;170.072235;12.351257
179.158615;170.068192;12.346632
179.158020;170.068634;12.347116
179.165298;170.076279;12.354917
179.173294;170.083832;12.363280
179.176117;170.085724;12.365847
179.174561;170.083923;12.362416
179.169266;170.078201;12.354503
179.162216;170.069016;12.345676
179.158707;170.063538;12.341806
179.160751;170.066742;12.345524
179.165710;170.074081;12.353374
179.169586;170.078735;12.358967
179.171646;170.079742;12.359717
179.175812;170.081985;12.360747
179.186462;170.089828;12.368517
179.199524;170.100952;12.380670
179.204941;170.109146;12.389026
179.199570;170.111908;12.390553
179.189163;170.112122;12.388282
179.181610;170.113403;12.386943
179.182770;170.120895;12.391136
179.190048;170.135666;12.400356
179.193451;170.148788;12.407667
179.186234;170.151306;12.408821
179.173050;170.145599;12.407863
179.163513;170.139114;12.411263
179.163406;170.135590;12.421190
179.174408;170.138214;12.436777
179.194489;170.149750;12.454895
179.212585;170.162094;12.466853
179.215927;170.163589;12.466142
179.206696;170.156006;12.458233
179.194931;170.147049;12.449227
179.181793;170.134140;12.434758
179.167755;170.115005;12.411927
179.158813;170.095474;12.386569
179.154907;170.078552;12.362597
179.150970;170.062668;12.341407
179.148010;170.051300;12.328299
179.147659;170.046814;12.324156
179.147415;170.045181;12.322310
179.148956;170.045059;12.321543
179.156738;170.049652;12.326387
179.168976;170.058060;12.336279
179.179657;170.066605;12.345980
179.186218;170.073242;12.351668
179.189972;170.077896;12.353755
179.192307;170.080505;12.355143
179.192627;170.080368;12.357104
179.190353;170.078247;12.358648
179.188049;170.076569;12.359268
179.191391;170.079330;12.362136
179.203873;170.087921;12.371950
179.218338;170.096329;12.385980
179.222626;170.098984;12.393789
179.217148;170.099915;12.389924
179.212921;170.112457;12.377342
179.217239;170.150986;12.359597
179.227859;170.221100;12.343680
179.239990;170.314438;12.347095
179.258698;170.423889;12.399403
179.304047;170.543716;12.541767
179.396851;170.644470;12.809744
179.543259;170.688202;13.205567
179.728760;170.667923;13.685577
179.905258;170.581833;14.150753
179.995941;170.403564;14.448360
179.949661;170.137070;14.445852
179.793869;169.853149;14.136373
179.604218;169.633453;13.638174
179.439667;169.515152;13.106568
179.323654;169.502426;12.675824
179.258621;169.591553;12.428155
179.236832;169.757141;12.362071
179.243179;169.938934;12.403388
179.263168;170.083496;12.468533
179.289886;170.181107;12.515670
179.318359;170.241440;12.539649
179.337189;170.268036;12.544083
179.337585;170.269409;12.533133
179.325928;170.265305;12.516882
179.318649;170.270859;12.507353
179.324661;170.284912;12.508373
179.337769;170.297928;12.515499
179.344940;170.303696;12.521629
179.340607;170.302963;12.521986
179.331955;170.301483;12.518920
179.328842;170.304016;12.518322
179.334610;170.311996;12.523663
179.344009;170.323334;12.534441
179.349609;170.333221;12.545448
179.351562;170.340591;12.552799
179.355103;170.348251;12.557775
179.359222;170.354691;12.561517
179.361877;170.358536;12.565182
179.366333;170.365891;12.572762
179.376053;170.381149;12.586473
179.390945;170.400772;12.603693
179.408157;170.419632;12.620173
179.422729;170.434769;12.633310
179.433334;170.446777;12.644094
179.441849;170.458145;12.654597
179.447235;170.467804;12.663846
179.450806;170.476105;12.671745
179.459015;170.488068;12.682263
179.472733;170.504318;12.696651
179.485001;170.518906;12.710890
